id,filename,date,vol,no,pages,words
87167,cn1933-12-20.txt,1933-12-20,20,10,4,12514
91973,cn1960-03-02.txt,1960-03-02,46,15,4,7963
87858,cn1929-04-17.txt,1929-04-17,15,19,6,14691
89919,cn1950-10-18.txt,1950-10-18,37,3,6,10974
89654,cn1952-05-01.txt,1952-05-01,38,23,8,15616
87636,cn1927-04-20.txt,1927-04-20,13,22,6,14158
91818,cn1960-10-01.txt,1960-10-01,47,1,6,13859
89740,cn1950-01-11.txt,1950-01-11,36,11,6,13129
88541,cn1939-12-13.txt,1939-12-13,26,9,6,12771
89066,cn1943-04-21.txt,1943-04-21,29,22,4,9393
91105,cn1946-12-18.txt,1946-12-18,33,11,4,10241
86544,cn1924-01-16.txt,1924-01-16,10,13,8,13537
91230,cn1959-05-13.txt,1959-05-13,45,24,6,12450
92571,cn1968-03-08.txt,1968-03-08,54,16,8,15682
91244,cn1961-12-06.txt,1961-12-06,48,9,6,14172
87222,cn1929-02-20.txt,1929-02-20,15,13,4,12089
7773,cn1919-03-19.txt,1919-03-19,5,21,6,11329
90045,cn1949-10-12.txt,1949-10-12,36,2,6,13397
86436,cn1925-05-13.txt,1925-05-13,11,26,6,11734
89050,cn1940-03-27.txt,1940-03-27,26,18,6,14266
88339,cn1941-09-26.txt,1941-09-26,28,1,4,8559
88962,cn1940-03-13.txt,1940-03-13,26,16,6,13701
86658,cn1925-10-07.txt,1925-10-07,12,2,6,11137
91379,cn1958-10-08.txt,1958-10-08,45,2,6,13893
86352,cn1925-11-11.txt,1925-11-11,12,7,6,11646
92990,cn1964-01-14.txt,1964-01-14,50,11,4,9798
92604,cn1968-10-04.txt,1968-10-04,55,3,4,7968
92286,cn1960-05-31.txt,1960-05-31,46,22,4,7508
86472,cn1924-10-15.txt,1924-10-15,11,3,6,11744
93233,cn1967-09-29.txt,1967-09-29,54,3,6,12073
92926,cn1965-01-15.txt,1965-01-15,51,11,4,9136
6664,cn1916-04-20.txt,1916-04-20,2,26,4,7717
6508,cn1915-01-21.txt,1915-01-21,1,14,4,5403
86665,cn1926-04-14.txt,1926-04-14,12,21,6,10219
92326,cn1956-05-16.txt,1956-05-16,42,23,6,10436
86924,cn1935-05-15.txt,1935-05-15,21,24,6,14523
92201,cn1954-11-10.txt,1954-11-10,41,7,6,12893
90966,cn1950-11-29.txt,1950-11-29,37,8,6,7691
92291,cn1956-04-11.txt,1956-04-11,42,18,6,11265
35259,cn1920-06-02.txt,1920-06-02,6,29,6,9894
90758,cn1949-11-09.txt,1949-11-09,36,6,6,14528
75245,cn1922-10-05.txt,1922-10-05,9,1,6,11875
88780,cn1937-02-10.txt,1937-02-10,23,13,6,14634
89954,cn1947-03-05.txt,1947-03-05,33,17,6,13917
92688,cn1962-10-17.txt,1962-10-17,49,4,6,16088
90546,cn1948-10-13.txt,1948-10-13,35,3,4,8034
91919,cn1960-10-26.txt,1960-10-26,47,4,6,13222
89888,cn1945-01-10.txt,1945-01-10,31,12,4,9593
87686,cn1932-11-30.txt,1932-11-30,19,6,4,11379
89580,cn1938-12-14.txt,1938-12-14,25,9,6,14880
88147,cn1933-10-11.txt,1933-10-11,20,1,6,14516
87435,cn1931-04-29.txt,1931-04-29,17,20,4,10651
35241,cn1919-12-10.txt,1919-12-10,6,10,7,11689
86248,cn1925-04-08.txt,1925-04-08,11,21,8,14056
87655,cn1930-02-12.txt,1930-02-12,16,12,6,14734
89409,cn1939-05-01.txt,1939-05-01,25,21,6,16561
89469,cn1937-04-21.txt,1937-04-21,23,22,6,16318
93263,cn1963-12-13.txt,1963-12-13,50,10,8,16908
89031,cn1939-04-12.txt,1939-04-12,25,18,6,17842
89704,cn1953-05-13.txt,1953-05-13,39,23,6,12011
87292,cn1935-01-16.txt,1935-01-16,21,11,6,16444
93185,cn1966-11-18.txt,1966-11-18,53,10,6,11921
93272,cn1964-02-28.txt,1964-02-28,50,14,8,20136
87948,cn1935-01-09.txt,1935-01-09,21,10,4,11572
86763,cn1926-10-06.txt,1926-10-06,13,2,4,9607
6792,cn1916-10-25.txt,1916-10-25,3,4,4,6944
6647,cn1915-11-25.txt,1915-11-25,2,9,4,7398
52140,cn1922-03-28.txt,1922-03-28,8,19,6,10948
52150,cn1921-11-02.txt,1921-11-02,8,5,6,11869
92262,cn1961-02-22.txt,1961-02-22,47,13,6,14933
90801,cn1947-05-02.txt,1947-05-02,33,23,6,12938
91014,cn1948-03-03.txt,1948-03-03,34,16,6,13189
92065,cn1958-03-19.txt,1958-03-19,44,17,6,13479
89843,cn1946-03-27.txt,1946-03-27,32,19,4,8675
90230,cn1949-10-26.txt,1949-10-26,36,4,6,14143
88754,cn1939-03-22.txt,1939-03-22,25,17,6,15945
87172,cn1931-10-14.txt,1931-10-14,18,2,6,15006
90551,cn1946-06-11.txt,1946-06-11,32,26,4,8066
35593,cn1921-01-12.txt,1921-01-12,7,12,6,12872
35614,cn1920-11-03.txt,1920-11-03,7,6,6,10891
91985,cn1960-03-16.txt,1960-03-16,46,17,6,14139
90643,cn1948-04-28.txt,1948-04-28,34,22,4,6845
90383,cn1953-10-07.txt,1953-10-07,40,2,6,12221
86987,cn1935-02-20.txt,1935-02-20,21,13,6,16488
91626,cn1954-12-08.txt,1954-12-08,41,10,4,7690
87227,cn1928-11-07.txt,1928-11-07,15,5,6,16463
92614,cn1968-04-26.txt,1968-04-26,54,18,8,16417
7778,cn1919-04-30.txt,1919-04-30,5,26,6,9438
35595,cn1921-02-09.txt,1921-02-09,7,14,6,13127
88084,cn1936-05-13.txt,1936-05-13,22,24,6,14714
91687,cn1956-09-30.txt,1956-09-30,43,1,6,9957
6814,cn1917-05-09.txt,1917-05-09,3,26,6,10661
90179,cn1952-03-12.txt,1952-03-12,38,18,6,13447
89232,cn1943-01-22.txt,1943-01-22,29,13,4,9960
90256,cn1952-12-03.txt,1952-12-03,39,9,6,15619
92507,cn1963-06-03.txt,1963-06-03,49,23,8,13101
91265,cn1961-01-11.txt,1961-01-11,47,10,4,10744
6802,cn1917-01-24.txt,1917-01-24,3,14,6,10855
86994,cn1935-02-13.txt,1935-02-13,21,12,6,16226
88268,cn1934-02-21.txt,1934-02-21,20,14,6,16379
75324,cn1923-02-28.txt,1923-02-28,9,16,6,12926
7763,cn1918-12-19.txt,1918-12-19,5,11,6,11572
35254,cn1920-04-21.txt,1920-04-21,6,24,6,10204
92369,cn1957-11-13.txt,1957-11-13,44,7,6,13925
92086,cn1954-09-26.txt,1954-09-26,41,1,4,6214
92654,cn1964-04-24.txt,1964-04-24,50,20,6,15838
87253,cn1928-01-18.txt,1928-01-18,14,11,6,19238
92493,cn1967-03-03.txt,1967-03-03,53,15,8,18597
52149,cn1921-10-26.txt,1921-10-26,8,4,6,12282
92194,cn1959-10-28.txt,1959-10-28,46,5,6,13443
90309,cn1954-02-17.txt,1954-02-17,40,13,6,12436
87526,cn1932-04-13.txt,1932-04-13,18,17,6,15017
89860,cn1952-11-05.txt,1952-11-05,39,6,6,13035
88601,cn1942-11-18.txt,1942-11-18,29,8,4,8694
89609,cn1938-10-12.txt,1938-10-12,25,1,6,16084
90660,cn1945-12-12.txt,1945-12-12,32,10,4,9329
86919,cn1928-04-25.txt,1928-04-25,14,22,4,11460
92034,cn1961-03-22.txt,1961-03-22,47,17,4,9236
93148,cn1965-04-23.txt,1965-04-23,51,20,4,9498
90263,cn1947-02-19.txt,1947-02-19,33,15,4,7609
90573,cn1944-10-04.txt,1944-10-04,31,2,4,9640
90361,cn1948-02-25.txt,1948-02-25,34,15,4,8613
93192,cn1964-11-13.txt,1964-11-13,51,8,6,13253
86227,cn1924-02-20.txt,1924-02-20,10,15,6,11805
6795,cn1916-11-15.txt,1916-11-15,3,7,4,6988
88192,cn1932-03-02.txt,1932-03-02,18,14,6,16182
86728,cn1926-03-10.txt,1926-03-10,12,17,6,11587
88830,cn1942-03-04.txt,1942-03-04,28,17,6,13503
6800,cn1917-01-10.txt,1917-01-10,3,12,6,10141
90997,cn1950-12-13.txt,1950-12-13,37,10,6,12658
87712,cn1935-03-27.txt,1935-03-27,21,18,6,14106
6807,cn1917-03-14.txt,1917-03-14,3,19,6,10615
7010,cn1917-11-22.txt,1917-11-22,4,8,6,10008
90292,cn1952-11-12.txt,1952-11-12,39,7,6,13774
7781,cn1919-06-03.txt,1919-06-03,5,29,6,10756
87127,cn1932-03-23.txt,1932-03-23,18,16,4,11066
86716,cn1925-11-18.txt,1925-11-18,12,8,4,8474
91654,cn1960-03-10.txt,1960-03-10,46,16,6,14321
35608,cn1921-05-11.txt,1921-05-11,7,26,6,12389
88427,cn1942-10-07.txt,1942-10-07,29,2,6,14808
88204,cn1934-03-21.txt,1934-03-21,20,18,6,14632
7766,cn1919-01-22.txt,1919-01-22,5,14,6,10683
52131,cn1921-12-14.txt,1921-12-14,8,10,6,12557
92803,cn1965-04-16.txt,1965-04-16,51,19,6,13256
87332,cn1929-05-15.txt,1929-05-15,15,23,4,10848
92744,cn1967-04-21.txt,1967-04-21,53,19,4,9243
88185,cn1933-11-08.txt,1933-11-08,20,5,6,14324
91299,cn1957-03-27.txt,1957-03-27,43,18,7,15077
91914,cn1962-03-14.txt,1962-03-14,48,16,4,10108
92151,cn1955-04-13.txt,1955-04-13,41,20,6,11779
7002,cn1918-05-23.txt,1918-05-23,4,27,6,10348
87993,cn1927-05-18.txt,1927-05-18,13,26,6,16399
90510,cn1945-11-14.txt,1945-11-14,32,7,4,7704
92544,cn1965-10-08.txt,1965-10-08,52,2,6,13527
90787,cn1948-11-17.txt,1948-11-17,35,8,6,13619
92566,cn1963-11-08.txt,1963-11-08,50,7,4,9577
86735,cn1923-11-07.txt,1923-11-07,10,6,6,10074
92681,cn1962-10-31.txt,1962-10-31,49,6,6,15547
89190,cn1936-11-11.txt,1936-11-11,23,6,6,15754
90242,cn1952-09-28.txt,1952-09-28,39,1,6,10173
7003,cn1918-05-30.txt,1918-05-30,4,28,6,10777
92274,cn1962-02-14.txt,1962-02-14,48,12,6,14849
6504,cn1914-12-10.txt,1914-12-10,1,10,4,5379
88651,cn1943-10-14.txt,1943-10-14,30,3,4,9438
89730,cn1951-04-25.txt,1951-04-25,37,20,4,8530
91067,cn1947-12-03.txt,1947-12-03,34,9,4,7014
87490,cn1930-04-23.txt,1930-04-23,16,20,4,11928
88726,cn1937-03-02.txt,1937-03-02,23,16,8,20631
91155,cn1947-04-16.txt,1947-04-16,33,21,6,11049
93106,cn1967-02-24.txt,1967-02-24,53,14,8,16511
35615,cn1920-11-10.txt,1920-11-10,7,7,6,9839
88534,cn1942-05-06.txt,1942-05-06,28,24,6,13918
89218,cn1937-03-17.txt,1937-03-17,23,18,6,13439
88306,cn1932-12-07.txt,1932-12-07,19,7,6,17065
89961,cn1949-01-12.txt,1949-01-12,35,12,4,7782
93129,cn1968-05-27.txt,1968-05-27,54,19,4,7672
86950,cn1928-04-03.txt,1928-04-03,14,20,6,18522
87650,cn1927-10-19.txt,1927-10-19,14,2,4,9773
89341,cn1941-05-14.txt,1941-05-14,27,24,6,11889
87466,cn1933-03-22.txt,1933-03-22,19,16,6,15859
88256,cn1927-11-16.txt,1927-11-16,14,6,4,11879
92099,cn1961-10-04.txt,1961-10-04,48,2,4,9006
86322,cn1925-12-16.txt,1925-12-16,12,11,6,10142
89516,cn1943-02-10.txt,1943-02-10,29,14,6,13400
87726,cn1931-02-25.txt,1931-02-25,17,13,6,15357
87538,cn1928-12-12.txt,1928-12-12,15,9,6,16268
86553,cn1926-01-13.txt,1926-01-13,12,12,6,6337
89675,cn1953-03-11.txt,1953-03-11,39,16,4,7759
90746,cn1950-04-26.txt,1950-04-26,36,21,6,14741
88886,cn1943-02-24.txt,1943-02-24,29,16,6,11572
35237,cn1919-11-05.txt,1919-11-05,6,6,6,10528
92388,cn1963-10-25.txt,1963-10-25,50,5,4,9094
91558,cn1955-02-16.txt,1955-02-16,41,14,6,13162
91402,cn1960-12-14.txt,1960-12-14,47,9,4,7304
92305,cn1957-10-23.txt,1957-10-23,44,4,6,13383
7775,cn1919-04-02.txt,1919-04-02,5,23,6,10442
6656,cn1916-02-24.txt,1916-02-24,2,18,4,8169
86380,cn1925-10-14.txt,1925-10-14,12,3,6,10896
92158,cn1961-03-01.txt,1961-03-01,47,14,4,9301
89277,cn1942-02-11.txt,1942-02-11,28,14,6,13028
88950,cn1936-11-18.txt,1936-11-18,23,7,6,15559
92441,cn1967-11-10.txt,1967-11-10,54,8,8,15274
6797,cn1916-11-29.txt,1916-11-29,3,9,6,9141
35610,cn1921-06-01.txt,1921-06-01,7,28,6,11393
92551,cn1963-05-08.txt,1963-05-08,49,22,4,9861
92810,cn1963-03-13.txt,1963-03-13,49,16,6,15450
88742,cn1943-02-17.txt,1943-02-17,29,15,4,9283
6801,cn1917-01-17.txt,1917-01-17,3,13,6,10413
86623,cn1924-04-09.txt,1924-04-09,10,21,6,10429
87533,cn1928-11-28.txt,1928-11-28,15,8,4,12172
90901,cn1946-12-04.txt,1946-12-04,33,9,4,7477
92298,cn1959-03-11.txt,1959-03-11,45,16,6,12346
6514,cn1915-03-11.txt,1915-03-11,1,20,4,9191
87186,cn1936-05-03.txt,1936-05-03,22,23,18,32474
87568,cn1928-02-22.txt,1928-02-22,14,14,6,19592
92702,cn1965-03-12.txt,1965-03-12,51,16,6,14446
86241,cn1923-10-04.txt,1923-10-04,10,1,6,9886
90129,cn1945-10-31.txt,1945-10-31,32,5,6,11110
87925,cn1933-03-08.txt,1933-03-08,19,14,4,9711
89133,cn1940-05-15.txt,1940-05-15,26,23,6,13320
93204,cn1968-02-16.txt,1968-02-16,54,13,4,8909
90108,cn1950-03-08.txt,1950-03-08,36,16,6,13734
86809,cn1932-10-19.txt,1932-10-19,19,1,8,19479
52145,cn1922-05-10.txt,1922-05-10,8,23,6,11888
91287,cn1958-05-14.txt,1958-05-14,44,23,4,7217
90349,cn1952-01-09.txt,1952-01-09,38,12,4,6127
89244,cn1939-02-22.txt,1939-02-22,25,13,6,15729
75381,cn1923-04-17.txt,1923-04-17,9,21,6,10954
7004,cn1918-06-05.txt,1918-06-05,4,29,6,9832
52148,cn1921-10-19.txt,1921-10-19,8,3,5,9192
92104,cn1961-05-01.txt,1961-05-01,47,21,4,13349
91148,cn1947-01-22.txt,1947-01-22,33,13,6,11745
88505,cn1942-11-04.txt,1942-11-04,29,6,4,9972
88000,cn1930-11-12.txt,1930-11-12,17,6,4,10831
89509,cn1937-04-28.txt,1937-04-28,23,23,6,14256
